# wl(mum) ecs(mum2) scs(mum2)
3.499999999999999778e-01 9.215539999999999843e-01 9.215539999999999843e-01
3.539999999999999813e-01 8.929310000000000302e-01 8.929310000000000302e-01
3.579999999999999849e-01 8.850620000000000154e-01 8.850620000000000154e-01
3.619999999999999885e-01 8.949510000000000520e-01 8.949510000000000520e-01
3.659999999999999920e-01 9.147889999999999633e-01 9.147889999999999633e-01
3.699999999999999956e-01 9.395739999999999092e-01 9.395739999999999092e-01
3.739999999999999991e-01 9.706249999999999600e-01 9.706249999999999600e-01
3.780000000000000027e-01 1.010569999999999968e+00 1.010569999999999968e+00
3.820000000000000062e-01 1.052759999999999918e+00 1.052759999999999918e+00
3.860000000000000098e-01 1.084780000000000078e+00 1.084780000000000078e+00
3.900000000000000133e-01 1.102710000000000079e+00 1.102710000000000079e+00
3.940000000000000169e-01 1.114329999999999821e+00 1.114329999999999821e+00
3.980000000000000204e-01 1.129539999999999988e+00 1.129539999999999988e+00
4.020000000000000240e-01 1.152749999999999941e+00 1.152749999999999941e+00
4.060000000000000275e-01 1.183189999999999964e+00 1.183189999999999964e+00
4.099999999999999756e-01 1.217849999999999877e+00 1.217849999999999877e+00
4.139999999999999791e-01 1.253349999999999964e+00 1.253349999999999964e+00
4.179999999999999827e-01 1.287369999999999903e+00 1.287369999999999903e+00
4.219999999999999862e-01 1.319220000000000059e+00 1.319220000000000059e+00
4.259999999999999898e-01 1.348719999999999919e+00 1.348719999999999919e+00
4.299999999999999933e-01 1.375029999999999974e+00 1.375029999999999974e+00
4.339999999999999969e-01 1.397440000000000015e+00 1.397440000000000015e+00
4.380000000000000004e-01 1.416940000000000088e+00 1.416940000000000088e+00
4.420000000000000040e-01 1.436170000000000169e+00 1.436170000000000169e+00
4.460000000000000075e-01 1.457630000000000203e+00 1.457630000000000203e+00
4.500000000000000111e-01 1.482410000000000005e+00 1.482410000000000005e+00
4.540000000000000147e-01 1.510559999999999903e+00 1.510559999999999903e+00
4.580000000000000182e-01 1.542049999999999921e+00 1.542049999999999921e+00
4.620000000000000218e-01 1.576819999999999888e+00 1.576819999999999888e+00
4.660000000000000253e-01 1.614269999999999872e+00 1.614269999999999872e+00
4.699999999999999734e-01 1.652989999999999959e+00 1.652989999999999959e+00
4.739999999999999769e-01 1.691119999999999957e+00 1.691119999999999957e+00
4.779999999999999805e-01 1.727039999999999909e+00 1.727039999999999909e+00
4.819999999999999840e-01 1.759489999999999998e+00 1.759489999999999998e+00
4.859999999999999876e-01 1.787390000000000034e+00 1.787390000000000034e+00
4.899999999999999911e-01 1.809660000000000046e+00 1.809660000000000046e+00
4.939999999999999947e-01 1.825589999999999824e+00 1.825589999999999824e+00
