# wl(mum) ecs(mum2) scs(mum2)
3.699999999999999956e-01 2.682830000000000048e+00 2.682830000000000048e+00
3.748000000000000220e-01 2.692070000000000185e+00 2.692070000000000185e+00
3.796000000000000485e-01 2.682119999999999838e+00 2.682119999999999838e+00
3.843999999999999639e-01 2.651489999999999903e+00 2.651489999999999903e+00
3.891999999999999904e-01 2.617620000000000058e+00 2.617620000000000058e+00
3.940000000000000169e-01 2.600299999999999834e+00 2.600299999999999834e+00
3.987999999999999878e-01 2.604890000000000150e+00 2.604890000000000150e+00
4.036000000000000143e-01 2.625509999999999788e+00 2.625509999999999788e+00
4.083999999999999853e-01 2.654700000000000060e+00 2.654700000000000060e+00
4.132000000000000117e-01 2.685900000000000176e+00 2.685900000000000176e+00
4.179999999999999827e-01 2.712520000000000042e+00 2.712520000000000042e+00
4.228000000000000091e-01 2.729670000000000041e+00 2.729670000000000041e+00
4.276000000000000356e-01 2.736250000000000071e+00 2.736250000000000071e+00
4.323999999999999511e-01 2.733900000000000219e+00 2.733900000000000219e+00
4.371999999999999775e-01 2.724559999999999871e+00 2.724559999999999871e+00
4.420000000000000040e-01 2.709830000000000183e+00 2.709830000000000183e+00
4.468000000000000305e-01 2.691889999999999894e+00 2.691889999999999894e+00
4.516000000000000014e-01 2.673960000000000115e+00 2.673960000000000115e+00
4.563999999999999724e-01 2.659069999999999823e+00 2.659069999999999823e+00
4.611999999999999988e-01 2.648429999999999840e+00 2.648429999999999840e+00
4.660000000000000253e-01 2.640439999999999898e+00 2.640439999999999898e+00
4.707999999999999963e-01 2.631419999999999870e+00 2.631419999999999870e+00
4.756000000000000227e-01 2.617370000000000196e+00 2.617370000000000196e+00
4.803999999999999937e-01 2.595839999999999925e+00 2.595839999999999925e+00
4.851999999999999647e-01 2.567050000000000054e+00 2.567050000000000054e+00
4.899999999999999911e-01 2.533679999999999932e+00 2.533679999999999932e+00
4.948000000000000176e-01 2.499849999999999905e+00 2.499849999999999905e+00
4.996000000000000441e-01 2.469700000000000006e+00 2.469700000000000006e+00
5.043999999999999595e-01 2.446219999999999839e+00 2.446219999999999839e+00
5.091999999999999860e-01 2.430699999999999861e+00 2.430699999999999861e+00
5.140000000000000124e-01 2.422709999999999919e+00 2.422709999999999919e+00
5.187999999999999279e-01 2.420570000000000110e+00 2.420570000000000110e+00
5.236000000000000654e-01 2.421980000000000022e+00 2.421980000000000022e+00
5.283999999999999808e-01 2.424609999999999932e+00 2.424609999999999932e+00
5.332000000000000073e-01 2.426600000000000090e+00 2.426600000000000090e+00
5.380000000000000338e-01 2.426719999999999988e+00 2.426719999999999988e+00
5.427999999999999492e-01 2.424440000000000150e+00 2.424440000000000150e+00
5.475999999999999757e-01 2.419750000000000068e+00 2.419750000000000068e+00
5.524000000000000021e-01 2.412929999999999797e+00 2.412929999999999797e+00
5.572000000000000286e-01 2.404329999999999856e+00 2.404329999999999856e+00
5.620000000000000551e-01 2.394219999999999793e+00 2.394219999999999793e+00
5.667999999999999705e-01 2.382690000000000197e+00 2.382690000000000197e+00
5.715999999999999970e-01 2.369699999999999918e+00 2.369699999999999918e+00
5.764000000000000234e-01 2.355179999999999829e+00 2.355179999999999829e+00
5.812000000000000499e-01 2.339090000000000114e+00 2.339090000000000114e+00
5.859999999999999654e-01 2.321460000000000079e+00 2.321460000000000079e+00
5.907999999999999918e-01 2.302400000000000002e+00 2.302400000000000002e+00
5.956000000000000183e-01 2.281979999999999897e+00 2.281979999999999897e+00
6.003999999999999337e-01 2.260299999999999976e+00 2.260299999999999976e+00
6.052000000000000712e-01 2.237350000000000172e+00 2.237350000000000172e+00
6.099999999999999867e-01 2.213140000000000107e+00 2.213140000000000107e+00
6.147999999999999021e-01 2.187699999999999978e+00 2.187699999999999978e+00
6.196000000000000396e-01 2.161119999999999930e+00 2.161119999999999930e+00
6.243999999999999551e-01 2.133579999999999810e+00 2.133579999999999810e+00
6.292000000000000925e-01 2.105379999999999807e+00 2.105379999999999807e+00
6.340000000000000080e-01 2.076859999999999928e+00 2.076859999999999928e+00
6.387999999999999234e-01 2.048379999999999868e+00 2.048379999999999868e+00
6.436000000000000609e-01 2.020300000000000207e+00 2.020300000000000207e+00
6.483999999999999764e-01 1.992920000000000025e+00 1.992920000000000025e+00
6.532000000000000028e-01 1.966499999999999915e+00 1.966499999999999915e+00
6.580000000000000293e-01 1.941219999999999946e+00 1.941219999999999946e+00
6.627999999999999448e-01 1.917229999999999990e+00 1.917229999999999990e+00
6.675999999999999712e-01 1.894609999999999905e+00 1.894609999999999905e+00
6.723999999999999977e-01 1.873410000000000020e+00 1.873410000000000020e+00
6.772000000000000242e-01 1.853639999999999954e+00 1.853639999999999954e+00
6.820000000000000506e-01 1.835290000000000088e+00 1.835290000000000088e+00
6.867999999999999661e-01 1.818310000000000093e+00 1.818310000000000093e+00
6.915999999999999925e-01 1.802599999999999980e+00 1.802599999999999980e+00
6.964000000000000190e-01 1.788089999999999957e+00 1.788089999999999957e+00
7.012000000000000455e-01 1.774639999999999995e+00 1.774639999999999995e+00
7.059999999999999609e-01 1.762129999999999974e+00 1.762129999999999974e+00
7.107999999999999874e-01 1.750410000000000021e+00 1.750410000000000021e+00
7.156000000000000139e-01 1.739349999999999952e+00 1.739349999999999952e+00
7.203999999999999293e-01 1.728809999999999958e+00 1.728809999999999958e+00
7.252000000000000668e-01 1.718650000000000011e+00 1.718650000000000011e+00
7.299999999999999822e-01 1.708739999999999926e+00 1.708739999999999926e+00
7.348000000000000087e-01 1.698990000000000000e+00 1.698990000000000000e+00
7.396000000000000352e-01 1.689289999999999958e+00 1.689289999999999958e+00
7.443999999999999506e-01 1.679570000000000007e+00 1.679570000000000007e+00
7.492000000000000881e-01 1.669769999999999976e+00 1.669769999999999976e+00
7.540000000000000036e-01 1.659869999999999957e+00 1.659869999999999957e+00
7.587999999999999190e-01 1.649829999999999908e+00 1.649829999999999908e+00
