# wl(mum) ecs(mum2) scs(mum2)
3.699999999999999956e-01 2.820089999999999986e+00 2.820089999999999986e+00
3.748000000000000220e-01 2.845940000000000136e+00 2.845940000000000136e+00
3.796000000000000485e-01 2.864599999999999813e+00 2.864599999999999813e+00
3.843999999999999639e-01 2.875399999999999956e+00 2.875399999999999956e+00
3.891999999999999904e-01 2.882800000000000029e+00 2.882800000000000029e+00
3.940000000000000169e-01 2.888079999999999981e+00 2.888079999999999981e+00
3.987999999999999878e-01 2.888959999999999972e+00 2.888959999999999972e+00
4.036000000000000143e-01 2.885660000000000114e+00 2.885660000000000114e+00
4.083999999999999853e-01 2.880560000000000009e+00 2.880560000000000009e+00
4.132000000000000117e-01 2.874470000000000081e+00 2.874470000000000081e+00
4.179999999999999827e-01 2.866999999999999993e+00 2.866999999999999993e+00
4.228000000000000091e-01 2.858740000000000059e+00 2.858740000000000059e+00
4.276000000000000356e-01 2.850960000000000161e+00 2.850960000000000161e+00
4.323999999999999511e-01 2.844209999999999905e+00 2.844209999999999905e+00
4.371999999999999775e-01 2.838280000000000136e+00 2.838280000000000136e+00
4.420000000000000040e-01 2.832899999999999974e+00 2.832899999999999974e+00
4.468000000000000305e-01 2.827739999999999920e+00 2.827739999999999920e+00
4.516000000000000014e-01 2.822080000000000144e+00 2.822080000000000144e+00
4.563999999999999724e-01 2.815150000000000041e+00 2.815150000000000041e+00
4.611999999999999988e-01 2.806550000000000100e+00 2.806550000000000100e+00
4.660000000000000253e-01 2.796180000000000110e+00 2.796180000000000110e+00
4.707999999999999963e-01 2.783739999999999881e+00 2.783739999999999881e+00
4.756000000000000227e-01 2.768720000000000070e+00 2.768720000000000070e+00
4.803999999999999937e-01 2.750970000000000137e+00 2.750970000000000137e+00
4.851999999999999647e-01 2.731100000000000083e+00 2.731100000000000083e+00
4.899999999999999911e-01 2.710339999999999971e+00 2.710339999999999971e+00
4.948000000000000176e-01 2.689839999999999787e+00 2.689839999999999787e+00
4.996000000000000441e-01 2.670119999999999827e+00 2.670119999999999827e+00
5.043999999999999595e-01 2.651139999999999830e+00 2.651139999999999830e+00
5.091999999999999860e-01 2.632779999999999898e+00 2.632779999999999898e+00
5.140000000000000124e-01 2.615149999999999864e+00 2.615149999999999864e+00
5.187999999999999279e-01 2.598559999999999981e+00 2.598559999999999981e+00
5.236000000000000654e-01 2.583209999999999784e+00 2.583209999999999784e+00
5.283999999999999808e-01 2.568900000000000183e+00 2.568900000000000183e+00
5.332000000000000073e-01 2.555060000000000109e+00 2.555060000000000109e+00
5.380000000000000338e-01 2.541080000000000005e+00 2.541080000000000005e+00
5.427999999999999492e-01 2.526609999999999800e+00 2.526609999999999800e+00
5.475999999999999757e-01 2.511629999999999807e+00 2.511629999999999807e+00
5.524000000000000021e-01 2.496410000000000018e+00 2.496410000000000018e+00
5.572000000000000286e-01 2.481170000000000098e+00 2.481170000000000098e+00
5.620000000000000551e-01 2.465969999999999995e+00 2.465969999999999995e+00
5.667999999999999705e-01 2.450619999999999798e+00 2.450619999999999798e+00
5.715999999999999970e-01 2.434820000000000206e+00 2.434820000000000206e+00
5.764000000000000234e-01 2.418309999999999960e+00 2.418309999999999960e+00
5.812000000000000499e-01 2.401009999999999867e+00 2.401009999999999867e+00
5.859999999999999654e-01 2.383030000000000204e+00 2.383030000000000204e+00
5.907999999999999918e-01 2.364570000000000061e+00 2.364570000000000061e+00
5.956000000000000183e-01 2.345839999999999925e+00 2.345839999999999925e+00
6.003999999999999337e-01 2.326929999999999943e+00 2.326929999999999943e+00
6.052000000000000712e-01 2.307809999999999917e+00 2.307809999999999917e+00
6.099999999999999867e-01 2.288370000000000015e+00 2.288370000000000015e+00
6.147999999999999021e-01 2.268479999999999830e+00 2.268479999999999830e+00
6.196000000000000396e-01 2.248050000000000104e+00 2.248050000000000104e+00
6.243999999999999551e-01 2.227069999999999883e+00 2.227069999999999883e+00
6.292000000000000925e-01 2.205589999999999939e+00 2.205589999999999939e+00
6.340000000000000080e-01 2.183730000000000171e+00 2.183730000000000171e+00
6.387999999999999234e-01 2.161589999999999900e+00 2.161589999999999900e+00
6.436000000000000609e-01 2.139240000000000030e+00 2.139240000000000030e+00
6.483999999999999764e-01 2.116709999999999869e+00 2.116709999999999869e+00
6.532000000000000028e-01 2.093989999999999796e+00 2.093989999999999796e+00
6.580000000000000293e-01 2.071029999999999927e+00 2.071029999999999927e+00
6.627999999999999448e-01 2.047810000000000130e+00 2.047810000000000130e+00
6.675999999999999712e-01 2.024309999999999832e+00 2.024309999999999832e+00
6.723999999999999977e-01 2.000539999999999985e+00 2.000539999999999985e+00
6.772000000000000242e-01 1.976569999999999938e+00 1.976569999999999938e+00
6.820000000000000506e-01 1.952460000000000084e+00 1.952460000000000084e+00
6.867999999999999661e-01 1.928279999999999994e+00 1.928279999999999994e+00
6.915999999999999925e-01 1.904109999999999969e+00 1.904109999999999969e+00
6.964000000000000190e-01 1.879999999999999893e+00 1.879999999999999893e+00
7.012000000000000455e-01 1.856020000000000003e+00 1.856020000000000003e+00
