% Model:              2Au_spheres_on_silicon_wl_dsweep_2nmgap.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 3 2021, 09:46
% Table:              Result - Global Evaluation 1 (sigma_ext, sigma_abs, sigma_sc)
% wl (nm)                                         d_gsp (nm)                                        freq (GHz)                                        Wavelength (nm), Point: 47                        Electric field norm (V/m), Point: 47              Electric field norm (V/m), Point: 47              Electric field norm (V/m), Point: 47              ewfd2.normE / ewfd3.normE (1), Point: 47          Extinction cross section (um^2)                   Absorption cross section (um^2)                   Scattering cross section (um^2)
400                                               1.9999999999999998                                749481.145                                        400                                               4.9724625147774294E7                              3.7654456234017307E8                              4.667564462689289E7                               8.067260031438776                                 0.016440702018188633                              0.013430440442888792                              0.0030102615752998427
400                                               4.999999999999999                                 749481.145                                        400                                               4.9718476385560684E7                              2.8242990158289695E8                              4.667323855068051E7                               6.051217150406612                                 0.017093003770346702                              0.013863373016057147                              0.003229630754289553
400                                               9.999999999999998                                 749481.145                                        400                                               4.9734899664418474E7                              2.0190695378689906E8                              4.668241450549485E7                               4.325118054104361                                 0.017614821628274515                              0.01425566704429959                               0.0033591545839749223
400                                               19.999999999999996                                749481.145                                        400                                               4.97357448635402E7                                1.3235570044534512E8                              4.668723497628935E7                               2.8349440808084587                                0.017753157148784286                              0.014441236851160373                              0.003311920297623913
400                                               50                                                749481.145                                        400                                               4.977602726896649E7                               7.174907208062083E7                               4.672302855304473E7                               1.5356254571375652                                0.017408413147056063                              0.014450955140853409                              0.0029574580062026565
450                                               1.9999999999999998                                666205.4622222221                                 449.99999999999994                                4.067044454499455E7                               2.95376381949277E8                                4.250751313782644E7                               6.948804108853605                                 0.012463677434881646                              0.010635459089511447                              0.001828218345370199
450                                               4.999999999999999                                 666205.4622222221                                 449.99999999999994                                4.066789807116643E7                               2.29215603341528E8                                4.250529249567386E7                               5.3926367725820805                                0.012914014720036619                              0.010949102364397481                              0.001964912355639137
450                                               9.999999999999998                                 666205.4622222221                                 449.99999999999994                                4.0674970982849285E7                              1.6499655974501422E8                              4.251111173196389E7                               3.881257229529336                                 0.013290356353346957                              0.011257504409295275                              0.0020328519440516823
450                                               19.999999999999996                                666205.4622222221                                 449.99999999999994                                4.067813051177505E7                               1.0837673300879514E8                              4.251572218162838E7                               2.549097779541569                                 0.01336130993572031                               0.01136626791294148                               0.0019950420227788294
450                                               50                                                666205.4622222221                                 449.99999999999994                                4.070322507486828E7                               5.8627042456315525E7                              4.253791026666703E7                               1.3782304323081906                                0.013075153747450701                              0.011317082438241631                              0.0017580713092090697
500                                               1.9999999999999998                                599584.916                                        500                                               3.449005161479832E7                               2.3133573962349185E8                              3.9017141524879485E7                              5.92907964505753                                  0.010684367230520467                              0.009354035967160113                              0.0013303312633603554
500                                               4.999999999999999                                 599584.916                                        500                                               3.44925623177927E7                                2.062950073606811E8                               3.902113200706681E7                               5.2867509667151795                                0.011104547652512637                              0.009664679683668985                              0.0014398679688436514
500                                               9.999999999999998                                 599584.916                                        500                                               3.45044819657376E7                                1.490595246521153E8                               3.902971845060058E7                               3.81912887331683                                  0.011811720508184863                              0.010250918606463707                              0.0015608019017211566
500                                               19.999999999999996                                599584.916                                        500                                               3.449933002146521E7                               9.664024359435076E7                               3.903329434496485E7                               2.4758413353552107                                0.012470086478090326                              0.010843829739980732                              0.0016262567381095934
500                                               50                                                599584.916                                        500                                               3.451427524637486E7                               4.83288209436603E7                                3.903810276855594E7                               1.2379910271302366                                0.012844126503159834                              0.011356445620230547                              0.0014876808829292864
550                                               1.9999999999999998                                545077.1963636364                                 549.9999999999999                                 3.0004175176419325E7                              2.073605495344813E9                               3.606716132618013E7                               57.49289434207958                                 0.013644096779240422                              0.011192909108625354                              0.0024511876706150683
550                                               4.999999999999999                                 545077.1963636364                                 549.9999999999999                                 3.0005347179892514E7                              8.436165072287372E8                               3.6067372731437966E7                              23.390018272481562                                0.015367272285373173                              0.011579944147757225                              0.0037873281376159472
550                                               9.999999999999998                                 545077.1963636364                                 549.9999999999999                                 3.001427740814129E7                               4.309376776488478E8                               3.607861324068808E7                               11.944408028489654                                0.02064915637398823                               0.014390323754673638                              0.006258832619314595
550                                               19.999999999999996                                545077.1963636364                                 549.9999999999999                                 3.0019691789059393E7                              2.2050942826903924E8                              3.607317154318247E7                               6.112837292531149                                 0.0232246095086367                                0.015888369717837195                              0.0073362397907995045
550                                               50                                                545077.1963636364                                 549.9999999999999                                 3.001738869753244E7                               8.390712194948155E7                               3.6100262687405884E7                              2.324280093916153                                 0.021903828737967024                              0.015447054499619585                              0.00645677423834744
600                                               1.9999999999999998                                499654.0966666667                                 599.9999999999999                                 2.6547386516196154E7                              2.5542093063936653E9                              3.3530556897678982E7                              76.17557066493191                                 0.010371690644749815                              0.007200578886434721                              0.0031711117583150955
600                                               4.999999999999999                                 499654.0966666667                                 599.9999999999999                                 2.6551451847997762E7                              9.826614011560947E8                               3.3532199250279047E7                              29.305009010046284                                0.018801713323113305                              0.0101003360506608                                0.008701377272452506
600                                               9.999999999999998                                 499654.0966666667                                 599.9999999999999                                 2.6553814304328635E7                              4.921032347300081E8                               3.353178190068759E7                               14.675725739463827                                0.018487946885880766                              0.008922630918878157                              0.009565315967002608
600                                               19.999999999999996                                499654.0966666667                                 599.9999999999999                                 2.6549953068387687E7                              2.2336760853786913E8                              3.353141589799375E7                               6.661442785994422                                 0.012573089617389498                              0.005808805332471953                              0.006764284284917545
600                                               50                                                499654.0966666667                                 599.9999999999999                                 2.656434199085347E7                               8.015613934672387E7                               3.3546037701362666E7                              2.389436870616403                                 0.007528376982721205                              0.0037329931069540914                             0.0037953838757671136
650                                               1.9999999999999998                                461219.1661538462                                 649.9999999999999                                 2.378437787220725E7                               3.780157772251103E9                               3.132048455358492E7                               120.69282535472233                                0.019269299640433044                              0.007383250341487272                              0.011886049298945772
650                                               4.999999999999999                                 461219.1661538462                                 649.9999999999999                                 2.3788937364212524E7                              1.3054987990548308E9                              3.1323765881087247E7                              41.67758129756258                                 0.020929782804512364                              0.006034758090464208                              0.014895024714048155
650                                               9.999999999999998                                 461219.1661538462                                 649.9999999999999                                 2.3790719682188116E7                              4.5214829245149887E8                              3.1317769516246926E7                              14.437435980775543                                0.009274395429857198                              0.002486072134633232                              0.006788323295223966
650                                               19.999999999999996                                461219.1661538462                                 649.9999999999999                                 2.3786607321777135E7                              1.775770123091423E8                               3.1319742172588296E7                              5.669810796353281                                 0.004682551510948563                              0.0012655739052104297                             0.0034169776057381336
650                                               50                                                461219.1661538462                                 649.9999999999999                                 2.3800359988498572E7                              6.346916338178744E7                               3.1333966503063165E7                              2.025570665481588                                 0.002561814669852337                              7.965018730611138E-4                              0.0017653127967912233
700                                               1.9999999999999998                                428274.93999999994                                700                                               2.1565596896280162E7                              4.1856020630930233E9                              2.9387973022234634E7                              142.4256807343004                                 0.026702515890503403                              0.007197916503607095                              0.019504599386896308
700                                               4.999999999999999                                 428274.93999999994                                700                                               2.1572195263574544E7                              8.036120830010179E8                               2.938634883081149E7                               27.34644196962752                                 0.0073363108085849615                             0.0016166532519842009                             0.005719657556600761
700                                               9.999999999999998                                 428274.93999999994                                700                                               2.1569126647542164E7                              3.0731997762803584E8                              2.9392949403032374E7                              10.455567878340602                                0.0036645143807347113                             7.710456974712027E-4                              0.002893468683263509
700                                               19.999999999999996                                428274.93999999994                                700                                               2.15730528457974E7                                1.349858922311895E8                               2.939652833293518E7                               4.591899108030198                                 0.0021499429037960685                             4.6806162771399713E-4                             0.0016818812760820714
700                                               50                                                428274.93999999994                                700                                               2.1574937443525363E7                              5.238843431267016E7                               2.9394242649292532E7                              1.7822685529858704                                0.0013068840664115572                             3.2772477643800693E-4                             9.791592899735502E-4
749.9999999999999                                 1.9999999999999998                                399723.27733333333                                749.9999999999999                                 1.972810963911731E7                               2.295048614101663E9                               2.7682884694799166E7                              82.90496598906971                                 0.009160326273994221                              0.002233700076102145                              0.006926626197892076
749.9999999999999                                 4.999999999999999                                 399723.27733333333                                749.9999999999999                                 1.9724770032422334E7                              5.453219984248196E8                               2.768076409039973E7                               19.700395431423395                                0.0032935139299446205                             7.022179680446122E-4                              0.0025912959619000084
749.9999999999999                                 9.999999999999998                                 399723.27733333333                                749.9999999999999                                 1.9726738373539697E7                              2.3298785229512888E8                              2.7683968865109753E7                              8.415984479333982                                 0.0019069193283819507                             3.99995808129246E-4                               0.001506923520252705
749.9999999999999                                 19.999999999999996                                399723.27733333333                                749.9999999999999                                 1.972713589239151E7                               1.09136718631382E8                                2.768344488945853E7                               3.942309891965062                                 0.0012525482881279941                             2.734529048384593E-4                              9.790953832895348E-4
749.9999999999999                                 50                                                399723.27733333333                                749.9999999999999                                 1.97213709247178E7                                4.51357198408394E7                                2.7682587672388095E7                              1.6304732915506983                                8.196609101455268E-4                              2.037272607755955E-4                              6.159336493699313E-4
800                                               1.9999999999999998                                374740.5725                                       800                                               1.8184420704503417E7                              1.4615257556930847E9                              2.6163263675875798E7                              55.861752333318606                                0.003969401042690384                              9.639968820381937E-4                              0.0030054041606521905
800                                               4.999999999999999                                 374740.5725                                       800                                               1.8179129382935595E7                              4.189070788181185E8                               2.6160963940182704E7                              16.01267750591888                                 0.0018308521619320333                             4.027613596948914E-4                              0.0014280908022371419
800                                               9.999999999999998                                 374740.5725                                       800                                               1.818817259656415E7                               1.9028555199563026E8                              2.615905849505022E7                               7.274174337414927                                 0.0011738823275502148                             2.5842886627493167E-4                             9.15453461275283E-4
800                                               19.999999999999996                                374740.5725                                       800                                               1.818961772351472E7                               9.301911942868777E7                               2.6162976068273026E7                              3.555372262924208                                 8.074704801791941E-4                              1.8726008481634456E-4                             6.202103953628496E-4
800                                               50                                                374740.5725                                       800                                               1.818891392930512E7                               4.0064476004558936E7                              2.616695002499995E7                               1.5311098911520549                                5.590780095723948E-4                              1.4702753674418524E-4                             4.1205047282820965E-4
