# wavelength distance enhancement
4.000000000000000222e-01 1.999999999999999778e+00 8.067260031438776124e+00
4.000000000000000222e-01 4.999999999999999112e+00 6.051217150406611900e+00
4.000000000000000222e-01 9.999999999999998224e+00 4.325118054104360787e+00
4.000000000000000222e-01 1.999999999999999645e+01 2.834944080808458722e+00
4.000000000000000222e-01 5.000000000000000000e+01 1.535625457137565153e+00
4.500000000000000111e-01 1.999999999999999778e+00 6.948804108853605221e+00
4.500000000000000111e-01 4.999999999999999112e+00 5.392636772582080518e+00
4.500000000000000111e-01 9.999999999999998224e+00 3.881257229529336161e+00
4.500000000000000111e-01 1.999999999999999645e+01 2.549097779541568798e+00
4.500000000000000111e-01 5.000000000000000000e+01 1.378230432308190645e+00
5.000000000000000000e-01 1.999999999999999778e+00 5.929079645057529824e+00
5.000000000000000000e-01 4.999999999999999112e+00 5.286750966715179523e+00
5.000000000000000000e-01 9.999999999999998224e+00 3.819128873316830042e+00
5.000000000000000000e-01 1.999999999999999645e+01 2.475841335355210671e+00
5.000000000000000000e-01 5.000000000000000000e+01 1.237991027130236565e+00
5.500000000000000444e-01 1.999999999999999778e+00 5.749289434207958038e+01
5.500000000000000444e-01 4.999999999999999112e+00 2.339001827248156218e+01
5.500000000000000444e-01 9.999999999999998224e+00 1.194440802848965433e+01
5.500000000000000444e-01 1.999999999999999645e+01 6.112837292531149380e+00
5.500000000000000444e-01 5.000000000000000000e+01 2.324280093916152978e+00
5.999999999999999778e-01 1.999999999999999778e+00 7.617557066493191087e+01
5.999999999999999778e-01 4.999999999999999112e+00 2.930500901004628389e+01
5.999999999999999778e-01 9.999999999999998224e+00 1.467572573946382697e+01
5.999999999999999778e-01 1.999999999999999645e+01 6.661442785994421634e+00
5.999999999999999778e-01 5.000000000000000000e+01 2.389436870616402864e+00
6.500000000000000222e-01 1.999999999999999778e+00 1.206928253547223306e+02
6.500000000000000222e-01 4.999999999999999112e+00 4.167758129756258256e+01
6.500000000000000222e-01 9.999999999999998224e+00 1.443743598077554324e+01
6.500000000000000222e-01 1.999999999999999645e+01 5.669810796353281113e+00
6.500000000000000222e-01 5.000000000000000000e+01 2.025570665481588151e+00
6.999999999999999556e-01 1.999999999999999778e+00 1.424256807343004141e+02
6.999999999999999556e-01 4.999999999999999112e+00 2.734644196962752005e+01
6.999999999999999556e-01 9.999999999999998224e+00 1.045556787834060231e+01
6.999999999999999556e-01 1.999999999999999645e+01 4.591899108030197851e+00
6.999999999999999556e-01 5.000000000000000000e+01 1.782268552985870391e+00
7.499999999999998890e-01 1.999999999999999778e+00 8.290496598906970860e+01
7.499999999999998890e-01 4.999999999999999112e+00 1.970039543142339511e+01
7.499999999999998890e-01 9.999999999999998224e+00 8.415984479333982193e+00
7.499999999999998890e-01 1.999999999999999645e+01 3.942309891965062096e+00
7.499999999999998890e-01 5.000000000000000000e+01 1.630473291550698312e+00
8.000000000000000444e-01 1.999999999999999778e+00 5.586175233331860568e+01
8.000000000000000444e-01 4.999999999999999112e+00 1.601267750591888017e+01
8.000000000000000444e-01 9.999999999999998224e+00 7.274174337414926583e+00
8.000000000000000444e-01 1.999999999999999645e+01 3.555372262924207938e+00
8.000000000000000444e-01 5.000000000000000000e+01 1.531109891152054869e+00
4.249999999999999334e-01 1.999999999999999778e+00 7.746700352141249191e+00
4.249999999999999334e-01 4.999999999999999112e+00 5.863974293897552315e+00
4.249999999999999334e-01 9.999999999999998224e+00 4.095020327117386394e+00
4.249999999999999334e-01 1.999999999999999645e+01 2.710588210847598045e+00
4.249999999999999334e-01 5.000000000000000000e+01 1.455622534666537016e+00
4.749999999999999223e-01 1.999999999999999778e+00 5.815513447102752309e+00
4.749999999999999223e-01 4.999999999999999112e+00 4.862130305430823363e+00
4.749999999999999223e-01 9.999999999999998224e+00 3.534430275179123004e+00
4.749999999999999223e-01 1.999999999999999645e+01 2.364709760275253814e+00
4.749999999999999223e-01 5.000000000000000000e+01 1.288652796410356460e+00
5.250000000000000222e-01 1.999999999999999778e+00 2.038166772785496406e+01
5.250000000000000222e-01 4.999999999999999112e+00 1.211142791223360327e+01
5.250000000000000222e-01 9.999999999999998224e+00 7.199981858154162140e+00
5.250000000000000222e-01 1.999999999999999645e+01 3.972367676306841400e+00
5.250000000000000222e-01 5.000000000000000000e+01 1.593455473779640919e+00
5.749999999999998446e-01 1.999999999999999778e+00 8.111691938503331301e+01
5.749999999999998446e-01 4.999999999999999112e+00 3.012127689435606470e+01
5.749999999999998446e-01 9.999999999999998224e+00 1.489459867187010289e+01
5.749999999999998446e-01 1.999999999999999645e+01 7.192730204373134484e+00
5.749999999999998446e-01 5.000000000000000000e+01 2.625535012403759527e+00
6.250000000000000000e-01 1.999999999999999778e+00 8.799982773433796979e+01
6.250000000000000000e-01 4.999999999999999112e+00 3.894041091055114379e+01
6.250000000000000000e-01 9.999999999999998224e+00 1.629596225392338482e+01
6.250000000000000000e-01 1.999999999999999645e+01 6.390144043768929194e+00
6.250000000000000000e-01 5.000000000000000000e+01 2.188269736768159390e+00
6.749999999999999334e-01 1.999999999999999778e+00 1.543581062018480736e+02
6.749999999999999334e-01 4.999999999999999112e+00 3.412617580532916151e+01
6.749999999999999334e-01 9.999999999999998224e+00 1.219427765832561228e+01
6.749999999999999334e-01 1.999999999999999645e+01 5.075385779403053910e+00
6.749999999999999334e-01 5.000000000000000000e+01 1.894919297800127245e+00
7.249999999999999778e-01 1.999999999999999778e+00 1.086011696159295781e+02
7.249999999999999778e-01 4.999999999999999112e+00 2.288770037274138858e+01
7.249999999999999778e-01 9.999999999999998224e+00 9.281727018738589408e+00
7.249999999999999778e-01 1.999999999999999645e+01 4.220600156797819302e+00
7.249999999999999778e-01 5.000000000000000000e+01 1.705531803839484217e+00
7.750000000000000222e-01 1.999999999999999778e+00 6.652652312732780615e+01
7.750000000000000222e-01 4.999999999999999112e+00 1.744786159528181457e+01
7.750000000000000222e-01 9.999999999999998224e+00 7.655505133848654609e+00
7.750000000000000222e-01 1.999999999999999645e+01 3.708326041941475193e+00
7.750000000000000222e-01 5.000000000000000000e+01 1.567404572701837751e+00
