# wl(mum) ecs(mum2) scs(mum2)
3.699999999999999956e-01 1.530350000000000099e+00 1.530350000000000099e+00
3.748000000000000220e-01 1.460890000000000022e+00 1.460890000000000022e+00
3.796000000000000485e-01 1.366989999999999927e+00 1.366989999999999927e+00
3.843999999999999639e-01 1.253980000000000095e+00 1.253980000000000095e+00
3.891999999999999904e-01 1.139820000000000055e+00 1.139820000000000055e+00
3.940000000000000169e-01 1.042799999999999949e+00 1.042799999999999949e+00
3.987999999999999878e-01 9.649910000000000432e-01 9.649910000000000432e-01
4.036000000000000143e-01 8.920960000000000001e-01 8.920960000000000001e-01
4.083999999999999853e-01 8.092049999999999521e-01 8.092049999999999521e-01
4.132000000000000117e-01 7.131119999999999681e-01 7.131119999999999681e-01
4.179999999999999827e-01 6.121919999999999584e-01 6.121919999999999584e-01
4.228000000000000091e-01 5.195039999999999658e-01 5.195039999999999658e-01
4.276000000000000356e-01 4.458019999999999761e-01 4.458019999999999761e-01
4.323999999999999511e-01 3.948840000000000128e-01 3.948840000000000128e-01
4.371999999999999775e-01 3.624040000000000039e-01 3.624040000000000039e-01
4.420000000000000040e-01 3.389130000000000198e-01 3.389130000000000198e-01
4.468000000000000305e-01 3.156740000000000101e-01 3.156740000000000101e-01
4.516000000000000014e-01 2.893930000000000113e-01 2.893930000000000113e-01
4.563999999999999724e-01 2.627619999999999956e-01 2.627619999999999956e-01
4.611999999999999988e-01 2.412809999999999955e-01 2.412809999999999955e-01
4.660000000000000253e-01 2.294239999999999891e-01 2.294239999999999891e-01
4.707999999999999963e-01 2.286340000000000039e-01 2.286340000000000039e-01
4.756000000000000227e-01 2.375120000000000009e-01 2.375120000000000009e-01
4.803999999999999937e-01 2.531959999999999766e-01 2.531959999999999766e-01
4.851999999999999647e-01 2.728439999999999754e-01 2.728439999999999754e-01
4.899999999999999911e-01 2.946710000000000163e-01 2.946710000000000163e-01
4.948000000000000176e-01 3.184089999999999976e-01 3.184089999999999976e-01
4.996000000000000441e-01 3.452200000000000268e-01 3.452200000000000268e-01
5.043999999999999595e-01 3.771490000000000120e-01 3.771490000000000120e-01
5.091999999999999860e-01 4.162259999999999849e-01 4.162259999999999849e-01
5.140000000000000124e-01 4.635050000000000003e-01 4.635050000000000003e-01
5.187999999999999279e-01 5.184480000000000199e-01 5.184480000000000199e-01
5.236000000000000654e-01 5.789429999999999854e-01 5.789429999999999854e-01
5.283999999999999808e-01 6.419190000000000174e-01 6.419190000000000174e-01
5.332000000000000073e-01 7.042359999999999731e-01 7.042359999999999731e-01
5.380000000000000338e-01 7.634309999999999707e-01 7.634309999999999707e-01
5.427999999999999492e-01 8.181180000000000119e-01 8.181180000000000119e-01
5.475999999999999757e-01 8.680529999999999635e-01 8.680529999999999635e-01
5.524000000000000021e-01 9.139850000000000474e-01 9.139850000000000474e-01
5.572000000000000286e-01 9.574200000000000488e-01 9.574200000000000488e-01
5.620000000000000551e-01 1.000310000000000032e+00 1.000310000000000032e+00
5.667999999999999705e-01 1.044710000000000027e+00 1.044710000000000027e+00
5.715999999999999970e-01 1.092359999999999998e+00 1.092359999999999998e+00
5.764000000000000234e-01 1.144439999999999902e+00 1.144439999999999902e+00
5.812000000000000499e-01 1.201249999999999929e+00 1.201249999999999929e+00
5.859999999999999654e-01 1.262280000000000069e+00 1.262280000000000069e+00
5.907999999999999918e-01 1.326289999999999969e+00 1.326289999999999969e+00
5.956000000000000183e-01 1.391580000000000039e+00 1.391580000000000039e+00
6.003999999999999337e-01 1.456299999999999928e+00 1.456299999999999928e+00
6.052000000000000712e-01 1.518760000000000110e+00 1.518760000000000110e+00
6.099999999999999867e-01 1.577639999999999931e+00 1.577639999999999931e+00
