# wl(mum) scs(mum2)
3.499999999999999778e-01 1.374710000000000099e+00
3.549999999999999822e-01 1.455330000000000013e+00
3.599999999999999867e-01 1.539619999999999989e+00
3.649999999999999911e-01 1.609850000000000003e+00
3.699999999999999956e-01 1.647920000000000051e+00
3.750000000000000000e-01 1.652700000000000058e+00
3.800000000000000044e-01 1.646600000000000064e+00
3.850000000000000089e-01 1.656290000000000040e+00
3.900000000000000133e-01 1.689179999999999904e+00
3.950000000000000178e-01 1.739999999999999991e+00
4.000000000000000222e-01 1.803479999999999972e+00
4.050000000000000266e-01 1.873280000000000056e+00
4.099999999999999756e-01 1.943259999999999987e+00
4.149999999999999800e-01 2.007369999999999877e+00
4.199999999999999845e-01 2.054040000000000088e+00
4.249999999999999889e-01 2.072999999999999954e+00
4.299999999999999933e-01 2.069630000000000081e+00
4.349999999999999978e-01 2.062669999999999781e+00
4.400000000000000022e-01 2.067289999999999850e+00
4.450000000000000067e-01 2.085929999999999840e+00
4.500000000000000111e-01 2.113420000000000076e+00
4.550000000000000155e-01 2.144620000000000193e+00
4.600000000000000200e-01 2.176579999999999959e+00
4.650000000000000244e-01 2.207180000000000142e+00
4.699999999999999734e-01 2.234300000000000175e+00
4.749999999999999778e-01 2.256050000000000111e+00
4.799999999999999822e-01 2.271479999999999944e+00
4.849999999999999867e-01 2.281080000000000219e+00
4.899999999999999911e-01 2.286550000000000082e+00
4.949999999999999956e-01 2.289860000000000007e+00
5.000000000000000000e-01 2.292460000000000164e+00
5.050000000000000044e-01 2.295069999999999943e+00
5.100000000000000089e-01 2.298080000000000123e+00
5.150000000000000133e-01 2.301790000000000003e+00
5.200000000000000178e-01 2.306420000000000137e+00
5.250000000000000222e-01 2.311780000000000168e+00
5.300000000000000266e-01 2.317279999999999784e+00
5.350000000000000311e-01 2.322060000000000013e+00
5.400000000000000355e-01 2.325210000000000221e+00
5.450000000000000400e-01 2.326020000000000199e+00
5.500000000000000444e-01 2.323989999999999778e+00
5.550000000000000488e-01 2.318830000000000169e+00
5.600000000000000533e-01 2.310490000000000155e+00
5.649999999999999467e-01 2.299199999999999910e+00
5.699999999999999512e-01 2.285489999999999799e+00
5.749999999999999556e-01 2.270140000000000047e+00
5.799999999999999600e-01 2.254080000000000084e+00
5.849999999999999645e-01 2.238199999999999967e+00
5.899999999999999689e-01 2.223320000000000185e+00
5.949999999999999734e-01 2.210100000000000176e+00
5.999999999999999778e-01 2.199009999999999909e+00
6.049999999999999822e-01 2.190319999999999823e+00
6.099999999999999867e-01 2.184019999999999850e+00
6.149999999999999911e-01 2.179910000000000014e+00
6.199999999999999956e-01 2.177610000000000046e+00
6.250000000000000000e-01 2.176649999999999974e+00
6.300000000000000044e-01 2.176569999999999894e+00
6.350000000000000089e-01 2.176989999999999981e+00
6.400000000000000133e-01 2.177599999999999980e+00
6.450000000000000178e-01 2.178160000000000096e+00
6.500000000000000222e-01 2.178409999999999958e+00
6.550000000000000266e-01 2.178049999999999820e+00
6.600000000000000311e-01 2.176699999999999857e+00
6.650000000000000355e-01 2.173950000000000049e+00
6.700000000000000400e-01 2.169319999999999915e+00
6.750000000000000444e-01 2.162389999999999812e+00
6.800000000000000488e-01 2.152849999999999930e+00
6.850000000000000533e-01 2.140530000000000044e+00
6.899999999999999467e-01 2.125410000000000021e+00
6.949999999999999512e-01 2.107689999999999841e+00
6.999999999999999556e-01 2.087689999999999824e+00
7.049999999999999600e-01 2.065890000000000004e+00
7.099999999999999645e-01 2.042790000000000106e+00
7.149999999999999689e-01 2.018969999999999931e+00
7.199999999999999734e-01 1.994939999999999936e+00
7.249999999999999778e-01 1.971200000000000063e+00
7.299999999999999822e-01 1.948139999999999983e+00
7.349999999999999867e-01 1.926069999999999949e+00
7.399999999999999911e-01 1.905229999999999979e+00
7.449999999999999956e-01 1.885750000000000037e+00
7.500000000000000000e-01 1.867699999999999916e+00
7.550000000000000044e-01 1.851080000000000059e+00
7.600000000000000089e-01 1.835830000000000073e+00
7.650000000000000133e-01 1.821870000000000100e+00
7.700000000000000178e-01 1.809080000000000021e+00
7.750000000000000222e-01 1.797330000000000094e+00
7.800000000000000266e-01 1.786489999999999911e+00
7.850000000000000311e-01 1.776420000000000110e+00
7.900000000000000355e-01 1.766999999999999904e+00
7.950000000000000400e-01 1.758119999999999905e+00
8.000000000000000444e-01 1.749670000000000059e+00
8.050000000000000488e-01 1.741549999999999931e+00
8.100000000000000533e-01 1.733670000000000044e+00
8.149999999999999467e-01 1.725959999999999939e+00
8.199999999999999512e-01 1.718339999999999979e+00
8.249999999999999556e-01 1.710730000000000084e+00
8.299999999999999600e-01 1.703070000000000084e+00
8.349999999999999645e-01 1.695289999999999964e+00
8.399999999999999689e-01 1.687359999999999971e+00
8.449999999999999734e-01 1.679210000000000091e+00
8.499999999999999778e-01 1.670809999999999906e+00
