# wl(mum) ecs(mum2) scs(mum2)
3.699999999999999956e-01 8.194489999999999830e-01 8.194489999999999830e-01
3.748000000000000220e-01 8.679879999999999818e-01 8.679879999999999818e-01
3.796000000000000485e-01 9.200270000000000392e-01 9.200270000000000392e-01
3.843999999999999639e-01 9.766899999999999471e-01 9.766899999999999471e-01
3.891999999999999904e-01 1.036680000000000046e+00 1.036680000000000046e+00
3.940000000000000169e-01 1.097760000000000069e+00 1.097760000000000069e+00
3.987999999999999878e-01 1.158879999999999910e+00 1.158879999999999910e+00
4.036000000000000143e-01 1.219109999999999916e+00 1.219109999999999916e+00
4.083999999999999853e-01 1.277099999999999902e+00 1.277099999999999902e+00
4.132000000000000117e-01 1.332750000000000101e+00 1.332750000000000101e+00
4.179999999999999827e-01 1.387000000000000011e+00 1.387000000000000011e+00
4.228000000000000091e-01 1.439950000000000063e+00 1.439950000000000063e+00
4.276000000000000356e-01 1.490809999999999969e+00 1.490809999999999969e+00
4.323999999999999511e-01 1.539330000000000087e+00 1.539330000000000087e+00
4.371999999999999775e-01 1.586100000000000065e+00 1.586100000000000065e+00
4.420000000000000040e-01 1.631450000000000067e+00 1.631450000000000067e+00
4.468000000000000305e-01 1.675040000000000084e+00 1.675040000000000084e+00
4.516000000000000014e-01 1.716469999999999940e+00 1.716469999999999940e+00
4.563999999999999724e-01 1.755700000000000038e+00 1.755700000000000038e+00
4.611999999999999988e-01 1.792850000000000055e+00 1.792850000000000055e+00
4.660000000000000253e-01 1.827960000000000029e+00 1.827960000000000029e+00
4.707999999999999963e-01 1.861110000000000042e+00 1.861110000000000042e+00
4.756000000000000227e-01 1.892470000000000097e+00 1.892470000000000097e+00
4.803999999999999937e-01 1.922299999999999898e+00 1.922299999999999898e+00
4.851999999999999647e-01 1.950800000000000090e+00 1.950800000000000090e+00
4.899999999999999911e-01 1.978269999999999973e+00 1.978269999999999973e+00
4.948000000000000176e-01 2.005079999999999973e+00 2.005079999999999973e+00
4.996000000000000441e-01 2.031639999999999890e+00 2.031639999999999890e+00
5.043999999999999595e-01 2.058050000000000157e+00 2.058050000000000157e+00
5.091999999999999860e-01 2.084060000000000024e+00 2.084060000000000024e+00
5.140000000000000124e-01 2.109140000000000015e+00 2.109140000000000015e+00
5.187999999999999279e-01 2.132880000000000109e+00 2.132880000000000109e+00
5.236000000000000654e-01 2.155100000000000016e+00 2.155100000000000016e+00
5.283999999999999808e-01 2.175720000000000098e+00 2.175720000000000098e+00
5.332000000000000073e-01 2.194560000000000066e+00 2.194560000000000066e+00
5.380000000000000338e-01 2.211219999999999963e+00 2.211219999999999963e+00
5.427999999999999492e-01 2.225159999999999805e+00 2.225159999999999805e+00
5.475999999999999757e-01 2.235910000000000064e+00 2.235910000000000064e+00
5.524000000000000021e-01 2.243279999999999941e+00 2.243279999999999941e+00
5.572000000000000286e-01 2.247380000000000155e+00 2.247380000000000155e+00
5.620000000000000551e-01 2.248510000000000009e+00 2.248510000000000009e+00
5.667999999999999705e-01 2.247030000000000083e+00 2.247030000000000083e+00
5.715999999999999970e-01 2.243250000000000188e+00 2.243250000000000188e+00
5.764000000000000234e-01 2.237439999999999873e+00 2.237439999999999873e+00
5.812000000000000499e-01 2.229890000000000150e+00 2.229890000000000150e+00
5.859999999999999654e-01 2.221010000000000151e+00 2.221010000000000151e+00
5.907999999999999918e-01 2.211250000000000160e+00 2.211250000000000160e+00
5.956000000000000183e-01 2.201119999999999965e+00 2.201119999999999965e+00
6.003999999999999337e-01 2.191100000000000048e+00 2.191100000000000048e+00
6.052000000000000712e-01 2.181519999999999904e+00 2.181519999999999904e+00
6.099999999999999867e-01 2.172569999999999890e+00 2.172569999999999890e+00
6.147999999999999021e-01 2.164299999999999891e+00 2.164299999999999891e+00
6.196000000000000396e-01 2.156660000000000021e+00 2.156660000000000021e+00
6.243999999999999551e-01 2.149570000000000203e+00 2.149570000000000203e+00
6.292000000000000925e-01 2.142929999999999779e+00 2.142929999999999779e+00
6.340000000000000080e-01 2.136649999999999938e+00 2.136649999999999938e+00
6.387999999999999234e-01 2.130669999999999842e+00 2.130669999999999842e+00
6.436000000000000609e-01 2.124929999999999986e+00 2.124929999999999986e+00
6.483999999999999764e-01 2.119349999999999845e+00 2.119349999999999845e+00
6.532000000000000028e-01 2.113859999999999850e+00 2.113859999999999850e+00
6.580000000000000293e-01 2.108359999999999790e+00 2.108359999999999790e+00
6.627999999999999448e-01 2.102759999999999962e+00 2.102759999999999962e+00
6.675999999999999712e-01 2.096940000000000026e+00 2.096940000000000026e+00
6.723999999999999977e-01 2.090800000000000214e+00 2.090800000000000214e+00
6.772000000000000242e-01 2.084280000000000133e+00 2.084280000000000133e+00
6.820000000000000506e-01 2.077290000000000081e+00 2.077290000000000081e+00
6.867999999999999661e-01 2.069799999999999862e+00 2.069799999999999862e+00
6.915999999999999925e-01 2.061770000000000103e+00 2.061770000000000103e+00
6.964000000000000190e-01 2.053189999999999849e+00 2.053189999999999849e+00
7.012000000000000455e-01 2.044099999999999806e+00 2.044099999999999806e+00
7.059999999999999609e-01 2.034520000000000106e+00 2.034520000000000106e+00
7.107999999999999874e-01 2.024519999999999875e+00 2.024519999999999875e+00
7.156000000000000139e-01 2.014190000000000147e+00 2.014190000000000147e+00
7.203999999999999293e-01 2.003620000000000179e+00 2.003620000000000179e+00
7.252000000000000668e-01 1.992930000000000090e+00 1.992930000000000090e+00
7.299999999999999822e-01 1.982240000000000002e+00 1.982240000000000002e+00
7.348000000000000087e-01 1.971640000000000059e+00 1.971640000000000059e+00
7.396000000000000352e-01 1.961249999999999938e+00 1.961249999999999938e+00
7.443999999999999506e-01 1.951160000000000005e+00 1.951160000000000005e+00
7.492000000000000881e-01 1.941429999999999989e+00 1.941429999999999989e+00
7.540000000000000036e-01 1.932129999999999903e+00 1.932129999999999903e+00
7.587999999999999190e-01 1.923280000000000101e+00 1.923280000000000101e+00
7.636000000000000565e-01 1.914909999999999890e+00 1.914909999999999890e+00
7.683999999999999719e-01 1.907030000000000003e+00 1.907030000000000003e+00
7.731999999999999984e-01 1.899629999999999930e+00 1.899629999999999930e+00
7.780000000000000249e-01 1.892709999999999892e+00 1.892709999999999892e+00
7.827999999999999403e-01 1.886230000000000073e+00 1.886230000000000073e+00
7.876000000000000778e-01 1.880160000000000053e+00 1.880160000000000053e+00
7.923999999999999932e-01 1.874470000000000081e+00 1.874470000000000081e+00
7.972000000000000197e-01 1.869099999999999984e+00 1.869099999999999984e+00
8.020000000000000462e-01 1.863990000000000036e+00 1.863990000000000036e+00
8.067999999999999616e-01 1.859099999999999975e+00 1.859099999999999975e+00
8.115999999999999881e-01 1.854340000000000099e+00 1.854340000000000099e+00
8.164000000000000146e-01 1.849669999999999925e+00 1.849669999999999925e+00
8.212000000000000410e-01 1.845029999999999948e+00 1.845029999999999948e+00
8.259999999999999565e-01 1.840359999999999996e+00 1.840359999999999996e+00
8.307999999999999829e-01 1.835630000000000095e+00 1.835630000000000095e+00
8.356000000000000094e-01 1.830780000000000074e+00 1.830780000000000074e+00
8.403999999999999249e-01 1.825800000000000090e+00 1.825800000000000090e+00
8.452000000000000624e-01 1.820670000000000011e+00 1.820670000000000011e+00
8.499999999999999778e-01 1.815379999999999994e+00 1.815379999999999994e+00
